id,name,city,score,number_of_products
2814,حامی تک,تفرش,5,18
2815,هایتل,شیراز,5,14
2816,کیومیتا,تهران,5,12
2817,کیوان لند,تهران,5,6
2818,جیبانو,تهران,5,4
2819,کیپ شاپ,بجنورد,5,2
2820,فروشگاه اینترنتی کال‌می,تهران,5,4
2821,قاصد کالا,بویراحمد,5,7
2822,دهکده تخفیف,شیراز,5,6
2823,این چند,تهران,5,17
2824,فارس جانبی,فارسان,5,34
2825,مای فون,تهران,5,3
2826,آرکاتل,مشهد,5,7
2827,می تل,تهران,5,11
2828,بیزاسمارت,لامرد,4,23
2829,پیک کالا,بانه,5,11
2830,شیائومی شاپ,تهران,5,6
2831,رایاشیائومی,تهران,5,10
2832,3710,شیراز,5,8
2833,اصفون,اصفهان,5,5
2834,اریان گستر,تهران,5,8
2835,بایقوش,تبریز,5,6
2836,دانش دیجیتال,دوگنبدان,5,3
2837,گانوکو,بجنورد,5,28
2838,آترین کالا,بانه,5,19
2839,اریادی جی,تهران,4,21
2840,آی‌تک,لار,5,8
2841,آیفونچی,تهران,5,73
2842,اپل شیراز,شیراز,5,13
2843,جیما‌مارت,تهران,5,47
2844,اپل فا,تبریز,5,10
2845,کاج موبایل,شمیرانات,4,13
2846,آی سورس,شیراز,5,4
2847,دیجیتال من,بوشهر,5,9
2848,اکسیس موبایل,تهران,5,3
2849,اپل استور بروزرسانی,مشهد,5,10
2850,شمرون شاپ,تهران,5,13
2851,دکان دیجی,,5,7
2852,دریا استور,,5,8
2853,بانیزون,بانه,5,3
2854,اپل سنتر,تهران,5,10
2855,هایفون,بوکان,5,20
2856,نیک استور,شمیرانات,5,14
2857,اپل ویکی,رشت,5,6
2858,اپل استور هروی,تهران,5,6
2859,پارسان می,تهران,5,12
2860,پردیس استور,تهران,5,12
2861,تکسنولی,تهران,5,9
2862,کامپیوتر مشکی,تهران,5,2
2863,اپل سرویس ایران,تهران,5,18
2864,پرسیس بازار,تهران,5,7
2865,نگین پردازش پایتخت,تهران,5,10
2866,های اپل,تهران,5,60
2867,پارسه,تهران,5,13
2868,دیجیتال سهند,تهران,5,1
2869,موبوتاچ,رشت,5,3
2870,پاراتل,بانه,5,8
2871,رادین موبایل,خرم آباد,5,11
2872,آساتک,بیرجند,5,8
2873,دیجی جانبی,تهران,5,8
2874,وین برند,مرند,5,7
2875,سافتپل,تهران,5,6
2876,آسمان ایرانشهر,تهران,5,7
2877,ویستا کامپیوتر,مشهد,5,6
2878,پویان تل,کرج,5,1
2879,اپرنگ,اصفهان,5,1
2880,سبز سنتر,تهران,5,5
2881,گجت پایتخت,تهران,5,8
2882,الماس پایتخت,تهران,5,28
2883,ستیلا,بمپور,5,1
2884,نت فروش,تهران,5,3
2885,آرمان استور,مشهد,5,4
