id,name,price,count_of_merchant,url_address
34464,گوشی سامسونگ A02 حافظه 32 رم 3 گیگابایت,2095000,42,http://torob.com/p/efaa7c8f-b766-410a-94be-a69d7767ce62/گوشی سامسونگ A02 حافظه 32 رم 3 گیگابایت
34465,گوشی شیائومی Poco F3 5G حافظه 128 رم 6 گیگابایت,9499000,10,http://torob.com/p/ec93008e-13d9-4d5f-8532-0b13b4c266bb/گوشی شیائومی Poco F3 5G حافظه 128 رم 6 گیگابایت
34466,گوشی سامسونگ Note 20 Ultra 5G حافظه 256 رم 12 گیگابایت,21799000,32,http://torob.com/p/e1aba819-b7a6-4d23-914b-9f68d27d23f6/گوشی سامسونگ Note 20 Ultra 5G حافظه 256 رم 12 گیگابایت
34467,گوشی هواوی Y7a حافظه 128 رم 4 گیگابایت,3552000,28,http://torob.com/p/7c95473e-e6ef-42ce-907d-336343bd4cf8/گوشی هواوی Y7a حافظه 128 رم 4 گیگابایت
34468,گوشی سامسونگ S21 Plus 5G حافظه 256 رم 8 گیگابایت,18700000,38,http://torob.com/p/3752e520-8088-40a2-a233-5aa83676cc2c/گوشی سامسونگ S21 Plus 5G حافظه 256 رم 8 گیگابایت
34469,گوشی اپل آیفون SE 2020 حافظه 128 رم 3 گیگابایت,13500000,58,http://torob.com/p/f55ce07e-f431-4831-8089-37213e746407/گوشی اپل آیفون SE 2020 حافظه 128 رم 3 گیگابایت
34470,گوشی سامسونگ M11 حافظه 32 رم 3 گیگابایت,2608000,84,http://torob.com/p/05595c58-6ee4-4313-9795-feb1c7942a83/گوشی سامسونگ M11 حافظه 32 رم 3 گیگابایت
34471,گوشی شیائومی Redmi 9 حافظه 32 رم 3 گیگابایت,2899000,51,http://torob.com/p/744cfa2a-07aa-41c3-b575-9fb14eec15ee/گوشی شیائومی Redmi 9 حافظه 32 رم 3 گیگابایت
34472,گوشی شیائومی Redmi 9T حافظه 128 رم 6 گیگابایت,4397000,17,http://torob.com/p/b5b922e1-0895-4343-b0b3-7e91c6f9817e/گوشی شیائومی Redmi 9T حافظه 128 رم 6 گیگابایت
34473,گوشی اپل آیفون 12 mini حافظه 128 رم 4 گیگابایت,23490000,58,http://torob.com/p/329a12eb-1caf-4b40-884a-42a5cf4689ec/گوشی اپل آیفون 12 mini حافظه 128 رم 4 گیگابایت
34474,گوشی اپل آیفون  12 Pro حافظه 128 رم 6 گیگابایت,31900000,45,http://torob.com/p/c2ef3c7a-20f4-4866-abd0-350900dd4dab/گوشی اپل آیفون  12 Pro حافظه 128 رم 6 گیگابایت
34475,گوشی شیائومی Redmi Note 8 حافظه 64 رم 4 گیگابایت,4320000,56,http://torob.com/p/b6b5de0c-175b-42b9-bd0c-ee77f2886c85/گوشی شیائومی Redmi Note 8 حافظه 64 رم 4 گیگابایت
34476,گوشی هوآوی Y7p (P40 Lite E) حافظه 64 رم 4 گیگابایت,3050000,50,http://torob.com/p/4505f3d1-4766-46c4-bb0d-f84ccbd2f33c/گوشی هوآوی Y7p (P40 Lite E) حافظه 64 رم 4 گیگابایت
34477,گوشی نوکیا 105 2019 حافظه 4 رم 4 مگابایت,344500,90,http://torob.com/p/b0fff889-285e-46a9-a307-ee4aa69bfb14/گوشی نوکیا 105 2019 حافظه 4 رم 4 مگابایت
34478,گوشی شیائومی Mi 10T Pro 5G حافظه 128 رم 8 گیگابات,11595000,13,http://torob.com/p/b81aad91-167a-4416-ad22-8fce37c62974/گوشی شیائومی Mi 10T Pro 5G حافظه 128 رم 8 گیگابات
34479,گوشی شیائومی Redmi Note 8 Pro حافظه 64 رم 6 گیگابایت,4815000,62,http://torob.com/p/f3b1309f-347a-4863-8124-d466d61970b0/گوشی شیائومی Redmi Note 8 Pro حافظه 64 رم 6 گیگابایت
34480,گوشی سامسونگ  S21 Ultra 5G حافظه 512 رم 16 گیگابایت,30499000,20,http://torob.com/p/c85ee3ab-b62b-4448-9d2c-0298bfe79a4e/گوشی سامسونگ  S21 Ultra 5G حافظه 512 رم 16 گیگابایت
34481,گوشی اپل آیفون 12 Pro Max حافظه 128 رم 6 گیگابایت,33200000,58,http://torob.com/p/30d11b61-4dc3-49cf-b1cd-eee3ef1445b7/گوشی اپل آیفون 12 Pro Max حافظه 128 رم 6 گیگابایت
34482,گوشی سامسونگ M51 حافظه 128 رم 8 گیگابایت,8450000,17,http://torob.com/p/8a9c7e83-7310-4255-8ab9-46a04697c4a1/گوشی سامسونگ M51 حافظه 128 رم 8 گیگابایت
34483,گوشی سامسونگ A01 حافظه 16 رم 2 گیگابایت,2030000,75,http://torob.com/p/2a5e1762-78b2-4b01-ba0a-014f75cfb2dc/گوشی سامسونگ A01 حافظه 16 رم 2 گیگابایت
34484,گوشی اپل آیفون 7 ظرفیت ۱۲۸ گیگابایت,7050000,6,http://torob.com/p/6441692a-daec-42d9-a46d-2888d3b72dea/گوشی اپل آیفون 7 ظرفیت ۱۲۸ گیگابایت
34485,گوشی شیائومی Mi 11 Lite حافظه 128 رم 6 گیگابایت,7599000,20,http://torob.com/p/3abdfba3-264d-4fc8-bae0-943991257954/گوشی شیائومی Mi 11 Lite حافظه 128 رم 6 گیگابایت
34486,گوشی شیائومی Redmi Note 10 pro حافظه 128 رم 8 گیگابایت,8990000,1,http://torob.com/p/6154371c-1c66-4d1a-989c-7e6b2150f52d/گوشی شیائومی Redmi Note 10 pro حافظه 128 رم 8 گیگابایت
34487,گوشی شیائومی Redmi Note 10 pro حافظه 128 رم 6 گیگابایت,8199000,5,http://torob.com/p/edab0a89-ed73-4ea9-aa3f-e844785e64cd/گوشی شیائومی Redmi Note 10 pro حافظه 128 رم 6 گیگابایت
34488,گوشی شیائومی Redmi Note 9S حافظه 64 رم 4 گیگابایت,4644000,63,http://torob.com/p/9805ad73-1d9d-4c16-8f3e-bd04ca6b6ac1/گوشی شیائومی Redmi Note 9S حافظه 64 رم 4 گیگابایت
